"289-0123","千葉県成田市四谷","2012-12-03 01:03:57.000000"
"299-3200","千葉県大網白里市","2012-12-03 01:03:57.000000"
"299-3245","千葉県大網白里市池田","2012-12-03 01:03:57.000000"
"299-3249","千葉県大網白里市砂田","2012-12-03 01:03:57.000000"
"299-3268","千葉県大網白里市上谷新田","2012-12-03 01:03:57.000000"
"299-3251","千葉県大網白里市大網","2012-12-03 01:03:57.000000"
"299-3243","千葉県大網白里市大竹","2012-12-03 01:03:57.000000"
"299-3264","千葉県大網白里市柿餅","2012-12-03 01:03:57.000000"
"299-3262","千葉県大網白里市桂山","2012-12-03 01:03:57.000000"
"299-3242","千葉県大網白里市金谷郷","2012-12-03 01:03:57.000000"
"299-3265","千葉県大網白里市上貝塚","2012-12-03 01:03:57.000000"
"299-3248","千葉県大網白里市萱野","2012-12-03 01:03:57.000000"
"299-3247","千葉県大網白里市神房","2012-12-03 01:03:57.000000"
"299-3217","千葉県大網白里市木崎","2012-12-03 01:03:57.000000"
"299-3218","千葉県大網白里市北飯塚","2012-12-03 01:03:57.000000"
"299-3201","千葉県大網白里市北今泉","2012-12-03 01:03:57.000000"
"299-3266","千葉県大網白里市北横川","2012-12-03 01:03:57.000000"
"299-3216","千葉県大網白里市北吉田","2012-12-03 01:03:57.000000"
"299-3241","千葉県大網白里市季美の森南","2012-12-03 01:03:57.000000"
"299-3231","千葉県大網白里市経田","2012-12-03 01:03:57.000000"
"299-3261","千葉県大網白里市九十根","2012-12-03 01:03:57.000000"
"299-3246","千葉県大網白里市小中","2012-12-03 01:03:57.000000"
"299-3253","千葉県大網白里市小西","2012-12-03 01:03:57.000000"
"299-3235","千葉県大網白里市駒込","2012-12-03 01:03:57.000000"
"299-3214","千葉県大網白里市下ヶ傍示","2012-12-03 01:03:57.000000"
"299-3203","千葉県大網白里市四天木","2012-12-03 01:03:57.000000"
"299-3212","千葉県大網白里市清水","2012-12-03 01:03:57.000000"
"299-3267","千葉県大網白里市清名幸谷","2012-12-03 01:03:57.000000"
