"002-8044","北海道札幌市北区東茨戸三条","2013-10-01 00:42:47.000000"
"002-8045","北海道札幌市北区東茨戸四条","2013-10-01 00:42:47.000000"
"367-0030","埼玉県本庄市早稲田の杜","2013-10-01 00:42:47.000000"
"245-0022","神奈川県横浜市泉区和泉が丘","2013-10-01 00:42:47.000000"
"403-0004","山梨県富士吉田市下吉田","2013-10-01 00:42:47.000000"
"403-0008","山梨県富士吉田市下吉田東","2013-10-01 00:42:47.000000"
"399-0039","長野県松本市小屋北","2013-10-01 00:42:47.000000"
"480-1147","愛知県長久手市市が洞","2013-10-01 00:42:47.000000"
"480-1145","愛知県長久手市卯塚","2013-10-01 00:42:47.000000"
"480-1146","愛知県長久手市片平","2013-10-01 00:42:47.000000"
"480-0104","愛知県丹羽郡扶桑町斎藤","2013-10-01 00:42:47.000000"
"739-2627","広島県東広島市黒瀬楢原北","2013-10-01 00:42:47.000000"
"739-2629","広島県東広島市黒瀬楢原西","2013-10-01 00:42:47.000000"
"739-2628","広島県東広島市黒瀬楢原東","2013-10-01 00:42:47.000000"
"879-6125","大分県竹田市荻町仏面","2013-10-01 00:42:47.000000"
"080-8588","北海道帯広市東三条南3丁目1番地 北海道　十勝総合振興局","2013-10-01 00:42:47.000000"
"080-8666","北海道帯広市西七条南5丁目2番地 山田機械工業　株式会社　西７条店舗","2013-10-01 00:42:47.000000"
"029-2292","岩手県陸前高田市高田町字鳴石42－5 陸前高田市役所","2013-10-01 00:42:47.000000"
"999-7695","山形県鶴岡市渡前字大坪45 株式会社　スタンレー　鶴岡製作所","2013-10-01 00:42:47.000000"
"963-4393","福島県田村市船引町船引字馬場川原20 田村市役所","2013-10-01 00:42:47.000000"
"310-8581","茨城県水戸市笠原町489番地4 一般財団法人　茨城県メディカルセンター","2013-10-01 00:42:47.000000"
"304-8601","茨城県下妻市下妻丁156 株式会社　筑波銀行　下妻営業部","2013-10-01 00:42:47.000000"
"302-8586","茨城県取手市下高井1539番地（取手市ゆめみ野3丁目19街区1画地） 伊藤ハム　株式会社　取手工場","2013-10-01 00:42:47.000000"
"305-8503","茨城県つくば市吾妻一丁目11番1 株式会社　ライトオン","2013-10-01 00:42:47.000000"
"308-8522","茨城県筑西市伊佐山218－3 ＮＣ東日本コンクリート工業　株式会社","2013-10-01 00:42:47.000000"
"308-8523","茨城県筑西市下江連1250 株式会社　ハウステック　結城事業所","2013-10-01 00:42:47.000000"
"308-8608","茨城県筑西市丙116番地16（下館郵便局私書箱第8号） 下館税務署","2013-10-01 00:42:47.000000"
"308-8521","茨城県筑西市小川1500 日立化成　株式会社　下館事業所","2013-10-01 00:42:47.000000"
"308-8524","茨城県筑西市五所宮1150 日立化成　株式会社　下館事業所（五所宮）","2013-10-01 00:42:47.000000"
