"100.000","250.000","9N001000000000001"
"20.000","250.000","9N006000000000001"
"10.000","100.000","9N011000000000001"
"40.000","250.000","9N016160100000001"
"40.000","250.000","9N016160200000001"
"40.000","250.000","9N016160300000001"
"60.000","300.000","9A755000000000001"
"60.000","300.000","9A752000000000001"
"60.000","300.000","9A751000000000001"
"30.000","150.000","9A765000000000001"
"30.000","150.000","9A762000000000001"
"30.000","150.000","9A761000000000001"
"10.000","2000.000","3F015000002327101"
"10.000","2000.000","3F015000002327201"
"10.000","2000.000","3F015000002399901"
"10.000","500.000","3F070000002327101"
"10.000","500.000","3F070000002327201"
"10.000","500.000","3F070000002399901"
"20.000","1000.000","3F077000002327101"
"20.000","1000.000","3F077000002327201"
"20.000","1000.000","3F077000002399901"
"0.000","1000.000","3B035000002327201"
"0.000","1000.000","3B035000002399901"
"0.000","1000.000","3B045000002327201"
"0.000","1000.000","3B045000002399901"
"0.000","1000.000","3B090000002327101"
"0.000","1000.000","3B090000002399901"
"20.000","600.000","3D010000001926101"
"20.000","600.000","3D010000002227101"
"20.000","600.000","3D010000001927201"
"20.000","600.000","3D010000001999901"
"3.000","20.000","3D045000001906202"
"3.000","20.000","3D045000001920402"
"3.000","20.000","3D045000001927102"
"3.000","20.000","3D045000001999902"
"3.000","20.000","3D046000001906202"
"3.000","20.000","3D046000001920402"
"3.000","20.000","3D046000001927102"
"3.000","20.000","3D046000001999902"
"0.000","99.999","2A040000001930102"
"0.000","30.000","2A030000001930101"
"0.000","1000.000","2A020000001930101"
