"1","その他の既往歴","01","高血圧","2010-05-01 10:27:27.000"
"1","その他の既往歴","02","低血圧","2010-05-01 11:17:30.000"
"1","その他の既往歴","03","不整脈","2010-05-01 11:17:30.000"
"1","その他の既往歴","04","高脂質血症","2010-05-01 11:17:30.000"
"1","その他の既往歴","05","高尿酸血症","2010-05-01 11:17:30.000"
"1","その他の既往歴","06","腎不全以外の腎疾患","2010-05-01 11:17:30.000"
"1","その他の既往歴","07","糖尿病","2010-05-01 11:17:30.000"
"1","その他の既往歴","08","肝臓病","2010-05-01 11:17:30.000"
"1","その他の既往歴","09","胃・十二指腸潰瘍","2010-05-01 11:17:30.000"
"1","その他の既往歴","10","うつ","2010-05-01 11:17:30.000"
"1","その他の既往歴","11","骨粗鬆症","2010-05-01 11:17:30.000"
"2","自覚症状所見","01","胸部圧迫感","2010-05-01 00:00:00.000"
"2","自覚症状所見","02","心悸亢進・動悸","2010-05-01 00:00:00.000"
"2","自覚症状所見","03","息切れ","2010-05-01 00:00:00.000"
"2","自覚症状所見","04","不眠","2010-05-01 00:00:00.000"
"2","自覚症状所見","05","肩こり・腰痛","2010-05-01 00:00:00.000"
"2","自覚症状所見","06","手足のしびれ感","2010-05-01 00:00:00.000"
"2","自覚症状所見","07","目眩・立眩み","2010-05-01 00:00:00.000"
"2","自覚症状所見","08","頭痛・耳鳴り","2010-05-01 00:00:00.000"
"2","自覚症状所見","09","いつも調子が悪い","2010-05-01 00:00:00.000"
"2","自覚症状所見","10","腹が張っている","2010-05-01 00:00:00.000"
"2","自覚症状所見","11","下痢","2010-05-01 00:00:00.000"
"2","自覚症状所見","12","便秘","2010-05-01 00:00:00.000"
"2","自覚症状所見","13","下痢と便秘","2010-05-01 00:00:00.000"
"2","自覚症状所見","14","痔の傾向","2010-05-01 00:00:00.000"
"3","他覚症状所見","01","眼瞼結膜蒼白（＋）","2010-05-01 00:00:00.000"
"3","他覚症状所見","02","浮腫：眼瞼（＋）","2010-05-01 00:00:00.000"
"3","他覚症状所見","03","肝臓肥大（＋）","2010-05-01 00:00:00.000"
"3","他覚症状所見","04","浮腫：下腿（＋）","2010-05-01 00:00:00.000"
"3","他覚症状所見","05","心音不純","2010-05-01 00:00:00.000"
"3","他覚症状所見","06","不整脈あり","2010-05-01 00:00:00.000"
"4","心電図所見","01","異常Q波","2010-05-01 00:00:00.000"
"4","心電図所見","02","境界域Q波","2010-05-01 00:00:00.000"
"4","心電図所見","03","R波の増高不良","2010-05-01 00:00:00.000"
"4","心電図所見","04","","2010-05-01 00:00:00.000"
"4","心電図所見","05","左軸偏位","2010-05-01 00:00:00.000"
"4","心電図所見","06","","2010-05-01 00:00:00.000"
"4","心電図所見","07","軽度な左軸偏位","2010-05-01 00:00:00.000"
"4","心電図所見","08","高度な右軸偏位","2010-05-01 00:00:00.000"
"4","心電図所見","09","右軸偏位","2010-05-01 00:00:00.000"
"4","心電図所見","10","S1、S2、S3パターン","2010-05-01 00:00:00.000"
"4","心電図所見","11","高電位","2010-05-01 00:00:00.000"
"4","心電図所見","12","右室肥大","2010-05-01 00:00:00.000"
"4","心電図所見","13","左室肥大の疑い","2010-05-01 00:00:00.000"
"4","心電図所見","14","ST-T異常","2010-05-01 00:00:00.000"
"4","心電図所見","15","軽度S T-T異常","2010-05-01 00:00:00.000"
